"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Elavl2",4.08365320202868e-06,0.445624916511583,1,0.984,0.0483872067908379,"Med.A1","Elavl2"
"Rtn4rl1",4.29546599813391e-06,-2.31474963185994,0.194,0.465,0.0508969766118886,"Med.A1","Rtn4rl1"
"Maf",4.40385605728571e-06,-2.34174033760192,0.274,0.514,0.0521812904227783,"Med.A1","Maf"
"Mlip",4.5463368316131e-06,-0.619170008790098,0.194,0.496,0.0538695451177836,"Med.A1","Mlip"
"Pcsk2",4.59152821464028e-06,-0.572666914737069,0.887,0.955,0.0544050178152726,"Med.A1","Pcsk2"
"Cdh20",4.73126039236895e-06,0.638824083463908,0.839,0.613,0.0560607043891797,"Med.A1","Cdh20"
"Plcb1",5.11223865149158e-06,-1.86881489346978,0.629,0.742,0.0605749157815237,"Med.A1","Plcb1"
"Crim1",5.98283635857923e-06,0.727871053879067,0.79,0.63,0.0708906280128053,"Med.A1","Crim1"
"Tenm1",6.29084916640754e-06,0.455820858473499,0.984,0.978,0.0745402717727629,"Med.A1","Tenm1"
"Elovl7",6.36001023960221e-06,1.14571113062175,0.565,0.311,0.0753597613290466,"Med.A1","Elovl7"
"Pid1",6.74586791102093e-06,0.465292722064077,0.984,0.977,0.079931788877687,"Med.A1","Pid1"
"Rreb1",6.98969901312217e-06,0.684130787460762,0.855,0.664,0.0828209436064846,"Med.A1","Rreb1"
"Khdrbs2",7.02881055164417e-06,0.46116685447749,0.984,0.973,0.0832843762264318,"Med.A1","Khdrbs2"
"Zfp385b",7.78351285441097e-06,-0.465137115189733,0.935,0.97,0.0922268438119156,"Med.A1","Zfp385b"
"Lmo3",7.96795418731521e-06,-1.72595547400021,0.661,0.747,0.0944122891654979,"Med.A1","Lmo3"
"Pcdh7",8.12612025085019e-06,0.353825115510907,1,0.997,0.096286398852324,"Med.A1","Pcdh7"
"Zfp536",8.27311917385072e-06,0.71438429028504,0.887,0.673,0.0980281890909572,"Med.A1","Zfp536"
"Tbc1d19",9.46601623083619e-06,-0.472938363045092,0.613,0.801,0.112162826319178,"Med.A1","Tbc1d19"
"Ppp2r2b",9.71841455588783e-06,-0.335549381046647,0.984,0.984,0.115153494072715,"Med.A1","Ppp2r2b"
"Aff1",1.26935499385647e-05,-0.949383442237978,0.613,0.772,0.150405873222053,"Med.A1","Aff1"
"Med13",1.27839586213325e-05,-0.50992468838881,0.452,0.69,0.151477125704169,"Med.A1","Med13"
"Galnt9",1.29802913927015e-05,-0.870107151491252,0.435,0.689,0.153803472712121,"Med.A1","Galnt9"
"Arhgap20",1.32283184339721e-05,-0.706720128489709,0.565,0.794,0.156742345124136,"Med.A1","Arhgap20"
"Vmp1",1.44234682747291e-05,-0.505323828494602,0.79,0.921,0.170903675587265,"Med.A1","Vmp1"
"Shisa9",1.45737483830535e-05,0.880634641115356,0.516,0.292,0.172684344590801,"Med.A1","Shisa9"
"Ttc39c",1.52457601266568e-05,-0.499057364670676,0.403,0.695,0.180647011740757,"Med.A1","Ttc39c"
"Pou6f2",1.55726729466521e-05,0.942695805389969,0.548,0.336,0.18452060174488,"Med.A1","Pou6f2"
"Syt9",1.66389397234849e-05,-0.759707578606335,0.306,0.556,0.197154796783573,"Med.A1","Syt9"
