"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rpl17-ps3.1",0.000128069466734793,0.566725751481418,0.456,0.354,1,"ex_5","Rpl17-ps3"
"Fbxo2",0.000128435181159925,-0.803814537669358,0.119,0.253,1,"ex_5","Fbxo2"
"Crkl",0.000128686155041329,-0.773118098764737,0.194,0.337,1,"ex_5","Crkl"
"Zfp691.1",0.00013089918462916,-0.489760971067214,0.144,0.287,1,"ex_5","Zfp691"
"Rbck1",0.000131247152311753,-0.484320074122766,0.494,0.618,1,"ex_5","Rbck1"
"Ak5.4",0.000131400826744798,0.665166149015462,0.681,0.613,1,"ex_5","Ak5"
"Cluh",0.000132434460608402,-0.290406704099945,0.319,0.477,1,"ex_5","Cluh"
"Gpatch3",0.000132610968417962,-0.748757469883678,0.069,0.19,1,"ex_5","Gpatch3"
"Dtd2.2",0.000133245812483613,-0.527231303573532,0.131,0.269,1,"ex_5","Dtd2"
"Wars2",0.000133419773287389,-1.15958609753064,0.238,0.371,1,"ex_5","Wars2"
"Cabp7.2",0.000134107288922408,-0.363956142565755,0.119,0.259,1,"ex_5","Cabp7"
"Pld1.3",0.000134369013780669,-2.05642145246793,0.169,0.3,1,"ex_5","Pld1"
"Gm960.1",0.000136722267922217,-1.02970257404071,0.325,0.447,1,"ex_5","Gm960"
"Nxph4.3",0.000137401533384949,0.513398433540793,0.631,0.509,1,"ex_5","Nxph4"
"AC162938.1.3",0.000137592206174327,-0.76114652234047,0.081,0.198,1,"ex_5","AC162938.1"
"2700099C18Rik.3",0.000139021364677405,-0.947772353915057,0.088,0.21,1,"ex_5","2700099C18Rik"
"Wdr5",0.000139051264327251,-0.83684088571343,0.169,0.307,1,"ex_5","Wdr5"
"Pcbd2.1",0.000139587761960841,-0.350974604375078,0.35,0.501,1,"ex_5","Pcbd2"
"Zxdc.2",0.000140157696391027,-0.275978026715223,0.362,0.529,1,"ex_5","Zxdc"
"Fbxw2.1",0.000141672713514221,-0.296063254400357,0.512,0.689,1,"ex_5","Fbxw2"
"Zfp839.1",0.000141872163597028,-0.687051785502113,0.388,0.535,1,"ex_5","Zfp839"
"ENSMUSG00000012443",0.000142557063729359,-1.27246933681557,0.15,0.283,1,"ex_5","ENSMUSG00000012443"
"2310040G24Rik.1",0.000145287383443933,-2.15997246542769,0.031,0.132,1,"ex_5","2310040G24Rik"
"Rrp12.1",0.000145430086712821,-0.446798702225204,0.194,0.322,1,"ex_5","Rrp12"
"Tigd2.2",0.000146744577312244,-0.344001255802537,0.162,0.324,1,"ex_5","Tigd2"
"Hcn4",0.000147011101618983,-0.408073963545954,0.15,0.293,1,"ex_5","Hcn4"
"Ndufc2.2",0.000148162575778473,0.499045114585851,0.681,0.665,1,"ex_5","Ndufc2"
"Slc2a13.3",0.000149392706649089,0.465434184443331,0.831,0.826,1,"ex_5","Slc2a13"
"Zfp952.2",0.00014969488531294,-0.429857767564285,0.225,0.374,1,"ex_5","Zfp952"
"Atp5g1.1",0.000149950779922899,-0.272444050077301,0.7,0.854,1,"ex_5","Atp5g1"
"Pin1",0.000150262298063263,-0.449967133855645,0.238,0.404,1,"ex_5","Pin1"
"Hip1.2",0.000151160727130008,-0.265801246473834,0.431,0.577,1,"ex_5","Hip1"
"Akap1.3",0.000152680315250015,-0.744116809391,0.144,0.278,1,"ex_5","Akap1"
"Edil3.5",0.000153072250407024,0.515312812582044,0.881,0.905,1,"ex_5","Edil3"
"Tbc1d30",0.000155388682376931,-0.456521517081688,0.969,0.985,1,"ex_5","Tbc1d30"
"Creb3l2",0.000160553920483059,-0.761309748411157,0.481,0.596,1,"ex_5","Creb3l2"
"Lrrc14",0.000164232499335847,-0.359202326030101,0.319,0.492,1,"ex_5","Lrrc14"
"Gm2762.2",0.000164895079082607,-0.909832279898411,0.106,0.228,1,"ex_5","Gm2762"
"Fam19a2.8",0.000164965370060452,0.277107655099037,0.781,0.645,1,"ex_5","Fam19a2"
"Nrg1.9",0.000165503858018283,0.387652433826094,0.988,0.998,1,"ex_5","Nrg1"
"Ccdc191.1",0.00016742834022782,-0.415572821704275,0.119,0.252,1,"ex_5","Ccdc191"
"Foxk2",0.00016750525205212,-0.256004188808907,0.431,0.574,1,"ex_5","Foxk2"
"Fah.2",0.000170590476145976,0.926708269627641,0.575,0.463,1,"ex_5","Fah"
"4921504A21Rik.1",0.000170786101860487,-0.819179568526652,0.162,0.298,1,"ex_5","4921504A21Rik"
"Tstd2.2",0.00017216245874469,-0.429437351734281,0.112,0.247,1,"ex_5","Tstd2"
"Ccnk",0.000172326893921264,-0.250217681316961,0.194,0.351,1,"ex_5","Ccnk"
"Primpol.2",0.000173430814235959,-0.638112775534028,0.125,0.256,1,"ex_5","Primpol"
"Pde10a.8",0.000174315093209928,0.406288725497674,0.95,0.952,1,"ex_5","Pde10a"
"Gm4258.2",0.000176874801349303,-0.251647127780374,0.312,0.477,1,"ex_5","Gm4258"
"Cdk5rap2.2",0.000177224955790414,0.32503176396051,0.956,0.913,1,"ex_5","Cdk5rap2"
"Sphk1.1",0.000178352505189288,-2.29450204476649,0.031,0.13,1,"ex_5","Sphk1"
"Nisch.2",0.000178427328116103,0.576576188365649,0.775,0.681,1,"ex_5","Nisch"
"Kcnk2",0.000178559680881904,1.92574310886373,0.4,0.304,1,"ex_5","Kcnk2"
"Yeats4",0.000180003325267001,-0.44754085209466,0.056,0.173,1,"ex_5","Yeats4"
"Cltc",0.000180179781048251,-0.251762424928741,0.906,0.962,1,"ex_5","Cltc"
"Rp2.1",0.000183916106328456,-0.976972304663899,0.288,0.432,1,"ex_5","Rp2"
"AC155712.1.1",0.000184519700853168,-0.32499277823535,0.275,0.421,1,"ex_5","AC155712.1"
"Dab2ip.1",0.000186486705942299,-0.294754774692806,0.338,0.501,1,"ex_5","Dab2ip"
"R3hcc1l.1",0.000188787375439586,-0.540477875230393,0.175,0.32,1,"ex_5","R3hcc1l"
"Spsb1.2",0.000189824742026923,-0.968729969558695,0.038,0.142,1,"ex_5","Spsb1"
"Ppcs.5",0.000192212483064617,-0.571841669090397,0.075,0.196,1,"ex_5","Ppcs"
"Nwd2.3",0.000193047520141949,1.02601543546717,0.675,0.61,1,"ex_5","Nwd2"
