"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Sfswap",2.46747805374217e-57,-3.57278984338718,0.266,0.982,2.92371474587909e-53,"Med.A1","Sfswap"
"Tenm4",2.61646839556496e-57,-4.67888897679428,0.541,0.982,3.10025340190492e-53,"Med.A1","Tenm4"
"Rela",2.75793475029729e-57,-3.09225436796421,0.22,0.969,3.26787688562726e-53,"Med.A1","Rela"
"Myt1l",2.85208562069283e-57,-2.5927329944055,0.743,0.997,3.37943625195893e-53,"Med.A1","Myt1l"
"Snap25",3.84117129384169e-57,1.30265720740545,1,1,4.55140386607302e-53,"Med.A1","Snap25"
"Lrp1b",4.05621302970901e-57,-3.44266043139289,0.578,0.994,4.8062068189022e-53,"Med.A1","Lrp1b"
"Gramd2",4.91226230446652e-57,1.80070391409409,0.982,0.4,5.82053960456238e-53,"Med.A1","Gramd2"
"Grik2",5.78950752849424e-57,-2.67039997838931,0.734,1,6.85998747051283e-53,"Med.A1","Grik2"
"Ccdc91",6.4152190340336e-57,-2.68784856698901,0.734,0.997,7.60139303342641e-53,"Med.A1","Ccdc91"
"Pvalb",6.53327397888113e-57,2.0609476179426,1,0.794,7.74127633757625e-53,"Med.A1","Pvalb"
"Ankrd10",7.07051134660314e-57,-2.97668491379198,0.294,0.992,8.37784889459006e-53,"Med.A1","Ankrd10"
"Nova1",9.91783520724505e-57,-1.71977793217407,0.982,1,1.17516429370647e-52,"Med.A1","Nova1"
"Rbm5",1.06043376874171e-56,-2.45232967265577,0.606,0.999,1.25650797258205e-52,"Med.A1","Rbm5"
"Fam135b",1.34869695321158e-56,-3.08346322871147,0.505,0.99,1.59807101986041e-52,"Med.A1","Fam135b"
"Syt1",1.52291386373048e-56,-3.21899758683484,0.761,0.994,1.80450063713425e-52,"Med.A1","Syt1"
"Lingo2",1.57803182432926e-56,-3.87531631865223,0.349,0.978,1.86980990864774e-52,"Med.A1","Lingo2"
"Kcnma1",2.462174708006e-56,-2.39821480401872,0.853,0.997,2.91743081151631e-52,"Med.A1","Kcnma1"
"Magi2",2.53034566747998e-56,-2.67744014874199,0.844,0.997,2.99820658139703e-52,"Med.A1","Magi2"
"Fbxl17",2.68704853908794e-56,-2.75599725965511,0.321,0.973,3.1838838139653e-52,"Med.A1","Fbxl17"
"Nav3",3.05594260744294e-56,-2.92859513941069,0.688,0.994,3.62098639555914e-52,"Med.A1","Nav3"
"Setbp1",3.09343765535956e-56,-2.96881265729292,0.927,0.997,3.66541427783555e-52,"Med.A1","Setbp1"
"Adgrl3",5.50808568182462e-56,-3.26226826692774,0.578,0.985,6.52653072439399e-52,"Med.A1","Adgrl3"
"Lrrc4c",6.79139708685033e-56,-2.84315713300487,0.899,0.999,8.04712640820895e-52,"Med.A1","Lrrc4c"
"Nlgn1",8.71424782728425e-56,-3.78190801386581,0.706,0.98,1.03255122505491e-51,"Med.A1","Nlgn1"
"Akap12",9.67889618146857e-56,1.98741426860661,1,0.838,1.14685240854221e-51,"Med.A1","Akap12"
